Method:,new,,
Host Date-Time:,15/3/19 @ 21:23:52,,
Header Version:,1,,
System Temp (C):,27.08,,
Detector Temp (C):,26.78,,
Humidity (%):,48.29,,
Lamp PD:,3777,,
Shift Vector Coefficients:,-6.74686,0.0524561,-0.000101434,,
Pixel to Wavelength Coefficients:,1814.03,-0.914938,-0.00023931,,
Serial Number:,5510028,,
Scan Config Name:,new,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):, 15.240,,,,
Digital Resolution:,228,,
Num Repeats:,3,,
PGA Gain:,64,,
Total Measurement Time in sec:, 12.873,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.906296,0.457455,71820.000000,25049.000000
904.828517,0.462305,86358.000000,29785.000000
908.746430,0.470364,97758.000000,33097.000000
913.963613,0.475360,110243.000000,36897.000000
917.871475,0.474686,120591.000000,40423.000000
921.775029,0.477559,134100.000000,44655.000000
925.674276,0.482394,150991.000000,49723.000000
929.569215,0.485168,170011.000000,55630.000000
933.459847,0.489926,189894.000000,61459.000000
937.346171,0.495306,208331.000000,66596.000000
941.228187,0.501210,224869.000000,70912.000000
945.105896,0.506791,238808.000000,74346.000000
948.979297,0.514922,251889.000000,76964.000000
952.848391,0.523790,264137.000000,79075.000000
958.000482,0.536012,279863.000000,81458.000000
961.859524,0.542554,291735.000000,83644.000000
965.714259,0.547995,303819.000000,86024.000000
969.564687,0.551030,315794.000000,88792.000000
973.410806,0.552477,327489.000000,91774.000000
977.252619,0.553924,338786.000000,94624.000000
981.090123,0.554078,348863.000000,97404.000000
984.923320,0.553366,357867.000000,100082.000000
988.752210,0.552895,365848.000000,102425.000000
992.576792,0.551417,372415.000000,104619.000000
996.397066,0.549932,377154.000000,106313.000000
1001.484064,0.546934,381870.000000,108388.000000
1005.294288,0.544799,384246.000000,109600.000000
1009.100203,0.542697,385587.000000,110516.000000
1012.901811,0.540284,386049.000000,111265.000000
1016.699112,0.538049,386049.000000,111839.000000
1020.492105,0.535396,386305.000000,112599.000000
1024.280790,0.533118,385649.000000,112999.000000
1028.065168,0.530760,384043.000000,113141.000000
1031.845238,0.528634,382343.000000,113193.000000
1035.621001,0.526465,380815.000000,113305.000000
1039.392456,0.525194,379297.000000,113184.000000
1044.414362,0.523606,376700.000000,112821.000000
1048.175766,0.522293,375184.000000,112707.000000
1051.932862,0.521311,374333.000000,112706.000000
1055.685651,0.520533,373441.000000,112639.000000
1059.434132,0.519655,372372.000000,112544.000000
1063.178306,0.519136,372281.000000,112651.000000
1066.918172,0.518964,372851.000000,112868.000000
1070.653730,0.519515,373063.000000,112789.000000
1074.384981,0.519817,373772.000000,112925.000000
1078.111924,0.520433,374860.000000,113093.000000
1081.834560,0.521843,376980.000000,113364.000000
1086.791374,0.523642,379363.000000,113609.000000
1090.503958,0.525308,381223.000000,113729.000000
1094.212235,0.527562,384285.000000,114049.000000
1097.916205,0.529674,387103.000000,114328.000000
1101.615867,0.532630,390108.000000,114434.000000
1105.311221,0.535162,392928.000000,114591.000000
1109.002268,0.538205,396322.000000,114774.000000
1112.689007,0.541145,399696.000000,114970.000000
1116.371438,0.544412,401894.000000,114736.000000
1120.049562,0.548524,404650.000000,114434.000000
1123.723379,0.554272,407633.000000,113762.000000
1128.615100,0.565343,411236.000000,111879.000000
1132.278865,0.577513,413337.000000,109343.000000
1135.938323,0.593150,415570.000000,106046.000000
1139.593473,0.611746,417979.000000,102190.000000
1143.244316,0.631228,420233.000000,98234.000000
1146.890851,0.650175,422523.000000,94553.000000
1150.533078,0.666192,424923.000000,91647.000000
1154.170998,0.679019,427594.000000,89539.000000
1157.804610,0.688086,429924.000000,88167.000000
1161.433915,0.695187,432580.000000,87273.000000
1165.058912,0.700384,435335.000000,86784.000000
1169.885540,0.705751,439225.000000,86484.000000
1173.500487,0.709011,442074.000000,86394.000000
1177.111125,0.712230,445893.000000,86497.000000
1180.717456,0.715516,450163.000000,86667.000000
1184.319479,0.718294,454839.000000,87009.000000
1187.917195,0.720996,460298.000000,87507.000000
1191.510603,0.722814,466185.000000,88256.000000
1195.099703,0.723935,472611.000000,89242.000000
1198.684496,0.723614,478470.000000,90415.000000
1202.264982,0.723369,484573.000000,91620.000000
1205.841159,0.722710,491617.000000,93093.000000
1209.413030,0.721704,498678.000000,94649.000000
1214.168822,0.719037,507213.000000,96862.000000
1217.730641,0.717105,514424.000000,98677.000000
1221.288153,0.714509,521961.000000,100723.000000
1224.841357,0.712081,529465.000000,102744.000000
1228.390253,0.709526,536513.000000,104726.000000
1231.934842,0.707443,544052.000000,106708.000000
1235.475123,0.705791,552094.000000,108698.000000
1239.011097,0.703485,559784.000000,110799.000000
1242.542763,0.702020,567280.000000,112662.000000
1246.070121,0.700339,574247.000000,114488.000000
1249.593172,0.699275,582053.000000,116329.000000
1254.283873,0.698743,592505.000000,118563.000000
1257.796872,0.698774,598890.000000,119832.000000
1261.305565,0.699078,605301.000000,121030.000000
1264.809949,0.699586,612683.000000,122363.000000
1268.310026,0.701374,619480.000000,123212.000000
1271.805796,0.702675,625362.000000,124010.000000
1275.297258,0.704693,631700.000000,124686.000000
1278.784412,0.707303,638102.000000,125195.000000
1282.267259,0.709877,642567.000000,125326.000000
1285.745798,0.713804,646266.000000,124913.000000
1289.220029,0.717105,649717.000000,124629.000000
1293.845637,0.724118,654249.000000,123488.000000
1297.309818,0.729904,656017.000000,122183.000000
1300.769691,0.736713,657068.000000,120475.000000
1304.225256,0.744532,659020.000000,118677.000000
1307.676514,0.753584,660131.000000,116425.000000
1311.123464,0.763380,660686.000000,113924.000000
1314.566107,0.774239,660575.000000,111092.000000
1318.004442,0.785945,660950.000000,108199.000000
1321.438469,0.798910,660631.000000,104966.000000
1324.868189,0.812071,659763.000000,101699.000000
1328.293601,0.826056,658562.000000,98297.000000
1332.854117,0.846086,657296.000000,93686.000000
1336.269478,0.860860,655717.000000,90335.000000
1339.680531,0.875685,653063.000000,86950.000000
1343.087277,0.889130,650045.000000,83910.000000
1346.489716,0.903022,647298.000000,80925.000000
1349.887847,0.915334,644098.000000,78274.000000
1353.281670,0.928354,639721.000000,75446.000000
1356.671186,0.940840,635271.000000,72798.000000
1360.056394,0.953910,631245.000000,70192.000000
1363.437294,0.967452,626994.000000,67579.000000
1366.813887,0.983320,622766.000000,64715.000000
1371.309310,1.008741,618280.000000,60596.000000
1374.675852,1.033621,615091.000000,56927.000000
1378.038086,1.064080,612156.000000,52818.000000
1381.396013,1.100194,608219.000000,48291.000000
1384.749632,1.139896,605278.000000,43859.000000
1388.098944,1.181750,602778.000000,39665.000000
1391.443948,1.224887,600184.000000,35760.000000
1394.784644,1.264360,597315.000000,32497.000000
1398.121033,1.300487,594196.000000,29747.000000
1401.453114,1.328428,590992.000000,27743.000000
1404.780888,1.350350,587780.000000,26234.000000
1409.211218,1.371562,583604.000000,24806.000000
1412.528941,1.384447,581088.000000,23977.000000
1415.842356,1.393046,578865.000000,23417.000000
1419.151463,1.399080,576938.000000,23017.000000
1422.456263,1.405616,575304.000000,22609.000000
1425.756755,1.409780,574141.000000,22348.000000
1429.052940,1.414496,573268.000000,22073.000000
1432.344817,1.416305,573339.000000,21984.000000
1435.632386,1.419367,572773.000000,21808.000000
1438.915648,1.421086,573146.000000,21736.000000
1442.194603,1.422626,572880.000000,21649.000000
1446.559841,1.423267,573356.000000,21635.000000
1449.828744,1.424422,573182.000000,21571.000000
1453.093340,1.425966,572877.000000,21483.000000
1456.353628,1.427428,572560.000000,21399.000000
1459.609608,1.426888,571636.000000,21391.000000
1462.861281,1.426070,571146.000000,21413.000000
1466.108647,1.427498,569897.000000,21296.000000
1469.351704,1.427187,568473.000000,21258.000000
1472.590454,1.424782,567274.000000,21331.000000
1475.824897,1.423937,565614.000000,21310.000000
1479.055032,1.423550,563652.000000,21255.000000
1482.280859,1.420842,562098.000000,21329.000000
1486.575262,1.415381,559993.000000,21518.000000
1489.791038,1.415478,558166.000000,21443.000000
1493.002507,1.413129,555958.000000,21474.000000
1496.209668,1.409386,553779.000000,21575.000000
1499.412522,1.407227,551749.000000,21603.000000
1502.611068,1.403506,549346.000000,21694.000000
1505.805306,1.399817,546457.000000,21764.000000
1508.995237,1.395221,543487.000000,21876.000000
1512.180860,1.392623,540937.000000,21904.000000
1515.362176,1.385771,538109.000000,22136.000000
1518.539184,1.382242,534960.000000,22186.000000
1522.768494,1.374351,530181.000000,22391.000000
1525.935451,1.368582,527578.000000,22579.000000
1529.098100,1.365006,523947.000000,22609.000000
1532.256442,1.358702,520005.000000,22767.000000
1535.410477,1.352781,515622.000000,22885.000000
1538.560203,1.347509,511917.000000,22998.000000
1541.705622,1.339874,507873.000000,23221.000000
1544.846734,1.334318,503015.000000,23295.000000
1547.983538,1.328254,498063.000000,23390.000000
1551.116034,1.321425,492850.000000,23512.000000
1554.244223,1.315163,487881.000000,23613.000000
1558.408441,1.306977,480454.000000,23696.000000
1561.526578,1.302288,474693.000000,23666.000000
1564.640408,1.296659,469036.000000,23689.000000
1567.749931,1.291905,462930.000000,23638.000000
1570.855146,1.286174,456378.000000,23613.000000
1573.956053,1.280515,449574.000000,23566.000000
1577.052653,1.277645,442936.000000,23372.000000
1580.144945,1.271972,436402.000000,23330.000000
1583.232930,1.267607,428797.000000,23155.000000
1586.316607,1.264803,421842.000000,22927.000000
1589.395976,1.260233,414951.000000,22791.000000
1593.495102,1.253902,404872.000000,22564.000000
1596.564420,1.247851,396970.000000,22434.000000
1599.629431,1.239724,389263.000000,22414.000000
1602.690134,1.233075,381844.000000,22326.000000
1605.746530,1.228350,374075.000000,22111.000000
1608.798618,1.221170,365861.000000,21986.000000
1611.846398,1.216550,357989.000000,21743.000000
1614.889871,1.214029,349991.000000,21381.000000
1617.929036,1.210167,341782.000000,21066.000000
1620.963894,1.205261,333226.000000,20772.000000
1623.994444,1.201696,325188.000000,20438.000000
1628.028477,1.195337,314644.000000,20067.000000
1631.048976,1.192240,306850.000000,19710.000000
1634.065168,1.188255,298494.000000,19350.000000
1637.077052,1.185145,290299.000000,18954.000000
1640.084628,1.182896,282766.000000,18558.000000
1643.087897,1.180775,274914.000000,18131.000000
1646.086858,1.176520,266408.000000,17743.000000
1649.081511,1.172126,257840.000000,17347.000000
1652.071857,1.171508,249310.000000,16797.000000
1655.057896,1.167692,240052.000000,16316.000000
1658.039627,1.166175,229524.000000,15655.000000
1662.008567,1.162658,213697.000000,14694.000000
1664.980247,1.158473,199606.000000,13858.000000
1667.947619,1.155918,182727.000000,12761.000000
1670.910684,1.149705,163588.000000,11589.000000
1673.869441,1.145523,143454.000000,10261.000000
1676.823890,1.141516,123450.000000,8912.000000
1679.774032,1.143128,104722.000000,7532.000000
1682.719866,1.145498,88128.000000,6304.000000
1685.661393,1.150360,74460.000000,5267.000000
1688.598612,1.157731,62664.000000,4358.000000
1691.531523,1.156860,53383.000000,3720.000000
1695.435371,1.165737,43061.000000,2940.000000
1698.358232,1.181867,37090.000000,2440.000000
1701.276785,1.201954,32398.000000,2035.000000
